"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
"2" NA 0.144659299850464 0.11903011365377 0.554080651852205 NA NA NA 0.0206782464846981 0.0345045600557406 NA 0.580675795729559 0.7287 0.2713 0.319 0.451 0.125774694000262
"3" NA NA 0.0393037619314992 NA NA 0.6603011 0.0295463479769019 0.464073153124248 0.94994795019191 0.235709677083739 0.474773401780701 0.5518 0.4482 0.516 0.886 0.311406069503489
"4" 0.0148734647699569 NA 0.224671532846715 0.532144758958765 NA NA 0.179242055851896 0.281569343065693 0.0880663849491778 0.244388060664403 0.42857299270073 0.4162 0.5838 0.932 0.955 0.732417953132526
"5" NA NA 0.0595744680851064 NA NA NA NA 0.340425531914894 NA NA 0.44468085106383 0.1539 0.8461 0.999 0.999 NA
"7" NA NA 0.00448564593301435 NA 0.0086559 NA 0.000969070800104919 0.0385885167464115 NA 0.0429073482981128 0.0457296650717703 0.142 0.858 0.976 0.98 NA
"8" 0.0900819985271696 0.147170600891113 0.143238729998648 0.657620528548427 NA NA 0.0587894641660726 0.0990685828500853 0.0261132807121839 0.254377148010542 0.543357121193851 0.0811 0.9189 0.964 0.962 0.278739642824823
"9" 0.0527427739363081 0.0936711978912354 0.157182999648753 0.547409779216012 0.0025069 NA 0.275134102737687 0.116613979627678 0.064197010187569 0.25135513167593 0.590477695820162 0.3744 0.6256 0.895 0.962 0.813192983117174
"11" 0.001 NA 0.0909090909090909 0.78820023042017 NA NA NA 0.222727272727273 0.001 NA 0.204545454545455 0.7661 0.2339 NA NA NA
"12" 0.135130644616485 0.139000997543335 0.0611236218320034 0.730665867128986 NA NA 0.0255310658706228 0.162387566223657 0.268644158232804 0.268622573926294 0.52883771787095 0.1045 0.8955 0.999 0.999 NA
"13" 0.133529676802673 0.104832096099854 0.163796759691238 0.707315485930579 0.0307181 NA 0.128697461721234 0.468838990342086 0.0196798511012965 0.468465769710056 0.328902245434606 0.3397 0.6603 0.999 0.999 NA
"14" 0.0253386968097242 0.0737547016143799 0.233054691941981 0.422772138832738 0.0022244 0.9978899 0.00783595860871134 0.137836758888499 0.870231355170996 0.247887090842221 0.577005431692535 0.4511 0.549 0.893 0.916 0.257905141786695
"15" 0.0349174225038223 NA 0.467289719626168 0.436773621989663 NA 0.6156973 NA 0.107476635514019 5.38780496170487e-05 NA 0.791666666666667 0.8764 0.1236 0.48 0.438 0.203376371748985
"16" 0.130228735261069 0.119723901748657 0.269815059445178 0.770095018317745 0.0245668 NA 0.179537816590974 0.225693527080581 0.0837026304275963 0.419981377072837 0.439663143989432 0.021 0.979 0.995 0.995 NA
"17" 0.00940595798366283 0.22227710723877 0.239446612273856 0.510835137582047 NA NA 0.001 0.382316424263923 0.0372517009591684 NA 0.332564739269244 0.5561 0.444 0.197 0.356 0.2579156041956
"18" 0.0498216283556534 0.193681106567383 0.219298245614035 0.452053514899413 NA 0.345994 NA 0.195540935672515 0.00029129375066104 0.140008458163467 0.442251461988304 0.6931 0.3069 0.197 0.504 0.240095714917607
"19" NA NA 0.589152646539141 0.564586809198697 NA NA 0.00178927964542102 0.10977951909042 NA 0.0900588546447551 0.69900898824614 0.6497 0.3504 0.606 0.577 0.18599892806169
